sentence,x,y
Data Analysis.,-643.8982,-233.01746
Machine Learning.,-355.25485,-670.3553
Computer Vision.,-1666.136,-302.15768
Natural Language Processing.,-167.67574,-447.8083
Reinforcement Learning.,-435.87738,-862.23114
Medical Image Analysis.,-1601.9685,-466.81378
Audio Processing.,-1423.2324,-733.20734
Data Mining.,-588.80035,-404.59244
Web Scraping.,411.60477,136.93494
CI/CD.,-104.70332,424.33334
Model Optimization.,-1070.5519,-839.267
Wireshark.,566.5332,7.131679
Python.,-426.73978,143.95854
Java.,280.7539,711.9066
C++.,22.035519,688.2138
SQL.,-885.8435,-162.03522
Dart.,748.3017,688.8026
C.,-305.4129,288.6941
JavaScript.,461.9745,692.65765
TensorFlow.,588.6394,-608.3609
PyTorch.,410.73773,-613.4093
LangChain.,-510.90692,1176.6312
Llama Index.,-381.17972,1300.966
GraphQL.,675.1276,944.73267
FastAPI.,290.33588,-1359.7649
Flask.,228.78503,-1199.0038
Mesop.,-32.010952,-1398.3582
Hugging Face.,-879.6219,300.8405
