sentence,x,y
Data Analysis.,1174.8331,173.2202
Machine Learning.,970.9865,-110.684746
Computer Vision.,-139.47934,-206.3684
Natural Language Processing.,801.83545,-54.326538
Reinforcement Learning.,1011.3153,-200.27507
Medical Image Analysis.,-49.715992,-198.03056
Audio Processing.,119.69292,-195.77586
Data Mining.,1127.2767,95.348885
Web Scraping.,-707.4191,-564.25946
CI/CD.,-108.380775,-720.14514
Model Optimization.,433.46317,-143.98434
Wireshark.,-626.2235,-625.70355
Python.,118.14023,-748.26984
Java.,-805.3406,-190.36418
C++.,-679.1243,-247.16707
SQL.,1221.9807,294.5898
Dart.,-943.892,-12.471759
C.,23.875223,-742.10156
JavaScript.,-896.7656,-165.9244
TensorFlow.,613.5637,-299.03653
PyTorch.,539.4579,-246.48196
LangChain.,214.6209,232.15791
Llama Index.,125.03708,243.30316
GraphQL.,-1040.7589,-122.31931
FastAPI.,329.45425,796.2589
Flask.,376.79205,721.94257
LIDA.,36.83082,321.22223
Mesop.,465.80823,860.6735
Hugging Face.,680.6865,-67.1504
